Date/Time,Sales Amount,Order ID,Product ID,Product Name,Quantity Sold,Customer ID,Customer Name,Region,Location,Salesperson ID,Salesperson Name,Product Category,Discounts/Promotions,Profit Margin,Payment Method,Order Status
2023-09-06 17:31:37.144627,6.94,0484996,P001,Lavender Lush,136,C2182,Cynthia Smith,Rhode Island,North Lisaland,S6566,Samantha Johnson,Body Scrub,34.41,19.96,Credit Card,Completed
2023-02-13 16:58:47.429978,14.05,0298769,P002,Lavender Lush,23,C2650,Adrian Chen,Massachusetts,Cynthiamouth,S4897,Stephen Nelson,Essential Oil,11.92,39.0,Credit Card,Canceled
2024-01-13 08:26:09.887910,20.51,0217202,P003,Winter Wonderland Peppermint,132,C1860,Abigail Calderon,Oklahoma,Orrland,S2001,Tiffany Frye,Candle,95.73,7.61,Cash,Pending
2023-04-10 03:16:06.300839,8.8,0162562,P001,Lavender Lush,47,C8138,Trevor Hart,Maryland,West Pamela,S5568,Jeffrey Watkins,Body Scrub,3.69,32.58,Cash,Pending
2023-10-03 18:32:14.099370,39.57,0648931,P002,Winter Wonderland Peppermint,184,C5728,John Bryant,Montana,New Margaretside,S6613,Kristen Patterson,Candle,89.59,26.84,Online Transfer,Canceled
2023-03-08 07:26:07.142830,23.09,0695801,P001,Citrus Splash Infusion,46,C5483,Laura Chandler,Georgia,Frazierfurt,S5221,Thomas Gordon,Body Scrub,52.39,31.71,Cash,Completed
2023-10-15 20:25:12.821556,31.33,0753771,P001,Winter Wonderland Peppermint,49,C2337,Carrie Lane,Virginia,South Jamesport,S3893,Pam Skinner,Body Scrub,37.02,30.7,Online Transfer,Canceled
2023-04-26 20:06:03.671187,36.11,0806312,P001,Lavender Lush,43,C2808,Bradley Hopkins,Maryland,Elizabethtown,S1239,Jason Osborn,Body Scrub,62.11,37.36,Cash,Completed
2023-01-23 19:25:14.753244,20.54,0945079,P003,Lavender Lush,160,C4267,Andrew Matthews,Ohio,South William,S7101,Kyle Sheppard,Body Scrub,91.54,40.53,Credit Card,Pending
2023-09-21 06:21:49.129387,31.99,0274789,P002,Citrus Splash Infusion,163,C6670,Jesse Moore,Louisiana,Clarkstad,S1621,Craig Carpenter,Essential Oil,3.31,48.49,Online Transfer,Pending
2023-05-10 07:17:34.776241,6.81,0328456,P003,Citrus Splash Infusion,65,C2970,Kimberly Bond,Wisconsin,Patriciaport,S5819,Joan Robles,Body Scrub,52.07,32.13,Online Transfer,Pending
2023-11-22 11:20:37.838082,37.41,0615175,P001,Citrus Splash Infusion,188,C5482,Mrs. Julie Rios,Indiana,Thomasmouth,S3286,Kristine Keller,Candle,21.28,9.05,Online Transfer,Canceled
2023-09-22 13:19:02.988326,37.98,0225347,P003,Citrus Splash Infusion,162,C2843,Christian Davis,Kentucky,Lake Rebeccafort,S3693,Jennifer Burke,Essential Oil,81.51,15.96,Online Transfer,Canceled
2023-09-08 10:12:42.771605,22.2,0554405,P001,Citrus Splash Infusion,172,C3186,Antonio Henderson,South Carolina,Kellyfort,S4307,Daniel Guerra,Essential Oil,60.43,7.2,Cash,Canceled
2023-06-18 23:10:27.466693,9.19,0251987,P002,Winter Wonderland Peppermint,28,C8863,Kaitlin Bonilla,Georgia,Port Ryanberg,S8573,Shari Morris,Essential Oil,1.96,17.17,Cash,Pending
2023-07-18 08:11:32.360144,8.49,0845315,P003,Citrus Splash Infusion,43,C6741,Mark Mcdonald,Illinois,Seanville,S7532,Patricia Lowe,Body Scrub,15.95,24.85,Cash,Completed
2023-12-15 10:08:20.582478,9.59,0549976,P003,Citrus Splash Infusion,129,C6053,Terri Whitehead,Louisiana,Smithbury,S3775,James Bennett,Body Scrub,7.8,43.62,Online Transfer,Pending
2023-06-04 09:06:04.239560,32.93,0275008,P003,Winter Wonderland Peppermint,157,C7028,John Gibson,Oregon,Port David,S3339,Lindsey Harmon,Candle,27.05,33.2,Cash,Completed
2023-04-15 10:18:57.266675,10.7,0311362,P003,Citrus Splash Infusion,162,C8984,Gwendolyn Williamson,Washington,Thompsonside,S5139,Donna Peterson,Essential Oil,40.66,34.77,Online Transfer,Canceled
2023-04-16 22:23:45.889649,6.73,0614014,P001,Lavender Lush,63,C1756,Rachel Chan,South Dakota,Alexhaven,S7343,Brandon Ellis,Candle,8.36,31.16,Online Transfer,Pending
2023-10-14 18:11:07.202198,11.17,0831524,P002,Winter Wonderland Peppermint,150,C3082,Paige Livingston,Missouri,East Jason,S1552,John Myers,Body Scrub,82.04,33.97,Credit Card,Canceled
2023-05-17 06:21:36.840307,21.74,0411690,P003,Citrus Splash Infusion,174,C3674,Amy Robinson,Wyoming,New Kendra,S8875,Anthony Schneider,Essential Oil,3.33,8.11,Cash,Completed
2023-03-24 19:48:48.859014,20.95,0550795,P003,Lavender Lush,137,C7368,Jeremy Brady,Alabama,East Sandraport,S2048,Kimberly Wagner,Essential Oil,78.94,5.64,Credit Card,Pending
2023-08-16 15:45:00.022615,13.91,0279824,P002,Winter Wonderland Peppermint,156,C8909,Pam Miller,Montana,South Marthashire,S5600,Michael Kelley,Body Scrub,49.92,6.83,Credit Card,Pending
2023-04-26 06:24:46.115781,34.95,0955007,P002,Lavender Lush,56,C1067,Lynn Anderson,Arizona,Cooperland,S7281,Alexis Wright,Essential Oil,96.87,35.77,Credit Card,Pending
2023-11-04 07:45:19.027879,36.33,0664414,P003,Winter Wonderland Peppermint,63,C1789,Mr. Nicholas Dean,Florida,West Andrewport,S5566,Travis Mccormick,Essential Oil,70.47,6.94,Online Transfer,Completed
2023-05-12 17:12:25.364688,11.33,0283806,P003,Lavender Lush,33,C8938,Colleen Lang,Arkansas,South Anthony,S1883,Dr. Donna Cowan,Candle,35.62,44.18,Credit Card,Pending
2023-04-05 04:04:29.812763,32.05,0280094,P001,Winter Wonderland Peppermint,57,C5626,Johnathan Kane,Kansas,Davisfort,S3357,James Mason,Essential Oil,76.38,40.22,Credit Card,Completed
2023-12-03 22:21:52.141443,31.11,0762791,P002,Winter Wonderland Peppermint,73,C4592,Mr. Charles Barnett,South Dakota,Barrerashire,S2086,Andrea Hernandez,Candle,81.65,43.88,Online Transfer,Canceled
2023-10-25 12:54:20.191919,23.97,0602954,P002,Winter Wonderland Peppermint,84,C8270,Kyle Powell,Louisiana,Lake Sonyahaven,S1152,Andrew Hunt,Candle,20.49,42.46,Online Transfer,Pending
2023-11-13 02:14:46.377682,10.26,0646241,P001,Lavender Lush,2,C7269,Emily Morris,Florida,Jonestown,S4057,Kyle Stanley,Candle,22.97,13.02,Cash,Completed
2023-07-18 11:42:42.232643,8.01,0665376,P001,Lavender Lush,137,C6158,Taylor Patel,Washington,West Paula,S1426,Joshua Gregory,Candle,93.44,28.04,Credit Card,Completed
2023-05-15 14:44:13.925802,29.68,0672782,P001,Citrus Splash Infusion,73,C3440,Danny Bullock,Colorado,Lake Johnberg,S3668,David Butler,Body Scrub,50.24,33.79,Credit Card,Pending
2023-09-10 10:44:09.029332,28.76,0443530,P003,Citrus Splash Infusion,22,C8856,Mr. Andrew Watson,Florida,New Timothy,S3940,Nicholas Hayden,Candle,10.77,44.34,Online Transfer,Completed
